molindx,Name,SMILES,MolarMass,CASNumber,ExperimentalSolubilityInWater,Temperature,ExperimentReference,Datagroup,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,StandardInChIKey,CalLogP,CalMR,TPSA,LabuteASA,BalabanJIndex,BertzCTIndex,Isomer,Aromatic,Cyclic,ChargeNeutral,MadeOfKeyElements
1,1.3.5-Trinitrobenzene,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],213.1062,000099-35-4,277.7129201,288.15,OChem,G4,49.41304,0.023809511,135.223,227.373,-13.22202589,-13.3918705,26.61389639,-8.898476106,-3.07887467,5.819601436,UATJOMSPNYCXIX-UHFFFAOYSA-N,1.4112,46.4052,129.42,81.39033029,3.387380075,377.1733489,1,True,True,True,True
3,3.5-DINITROBENZOIC ACID,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,212.12,000099-34-3,1350.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,55.60536,4.897608007,137.044,231.247,-31.38640693,15.42667998,15.95972696,-8.479532113,-2.915388579,5.564143534,VYWYYJYRVSBHJQ-UHFFFAOYSA-N,1.2012,46.7101,123.58,82.05805253,3.387380075,375.7865269,1,True,True,True,True
4,2.4.6-TRINITROCHLOROBENZENE,[O-][N+](=O)C1=CC(=C(Cl)C(=C1)[N+]([O-])=O)[N+]([O-])=O,247.5513,000088-88-0,530.4753541,289.15,OChem,G4,48.45072,0.310056557,142.857,235.395,21.16346597,-9.945874553,-11.21759142,-8.457148015,-3.18970126,5.267446755,HJRJRUMKQCMYDL-UHFFFAOYSA-N,2.0646,51.4152,129.42,91.69359651,3.572754538,466.0323945,1,True,True,True,True
5,2.4.6-TRINITROTOLUENE,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],227.13,000118-96-7,115.0,296.15,PHELAN.JM & BARNETT.JL (2001),G2,49.45488,1.920997649,140.783,238.91,22.36617206,-6.052296881,-16.31387517,-8.419218045,-2.971392361,5.447825683,SPSSULHKWOKEEL-UHFFFAOYSA-N,1.71962,51.1422,129.42,87.7552724,3.572754538,461.8906851,1,True,True,True,True
7,3-nitrobenzene-1.2-dicarbonitrile,C1=CC(=C(C(=C1)[N+](=O)[O-])C#N)C#N,173.13,051762-67-5,200.0,298.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/6696/4/9/?documentUUID=6f4d89ad-f43c-498d-bb61-2d8353d869a0,G5,60.83536,10.65236066,128.175,208.074,-26.89748916,13.28416214,13.61332702,-8.320062424,-3.129817132,5.190245292,UZJZIZFCQFZDHP-UHFFFAOYSA-N,1.33816,42.5264,90.72,73.59942243,3.492939308,439.6828532,1,True,True,True,True
8,3.4-DINITROBENZOIC ACID,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],212.1184,000528-45-0,6692.345327,298.15,OChem,G4,59.74752,9.228948112,132.51,224.017,-14.09212452,11.32871674,2.763407782,-8.306492099,-3.066950635,5.239541464,OMVRRHJJQILIJX-UHFFFAOYSA-N,1.2012,46.7101,123.58,82.05805253,3.396348978,454.7936738,1,True,True,True,True
9,1-chloro-2.3.4-trinitrobenzene,C1=CC(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Cl,247.55,028260-61-9,177.9862554,288.15,OChem,G4,51.58872,9.015479488,142.524,234.041,-17.95194734,11.85310999,6.098837356,-8.301150501,-3.139343843,5.161806658,SRYLRVUJDQTFDL-UHFFFAOYSA-N,2.0646,51.4152,129.42,91.69359651,3.697752369,501.2823945,1,True,True,True,True
10,1.3-DINITROBENZENE,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],168.11,000099-65-0,533.0,298.15,SPANGGORD.RJ ET AL. (1980),G2,39.37144,5.609447119,111.117,185.938,-27.10440962,11.15832592,15.9460837,-8.294793918,-2.780825485,5.513968433,WDCYWAQPCXBPJA-UHFFFAOYSA-N,1.503,39.7508,86.28,66.73735456,3.121805775,306.8248997,1,True,True,True,True
11,2-nitro-4-(trifluoromethyl)benzonitrile,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])C#N,216.12,000778-94-9,731.0,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/13831//?documentUUID=bf2c8105-aa28-4c61-bade-206b78b4a9fc,G5,46.06584,6.805636776,137.053,228.042,-35.4642118,17.87147088,17.59274092,-8.287724396,-3.042471259,5.245253137,BQCWLXXZTCLGSZ-UHFFFAOYSA-N,2.48528,42.8134,66.93,81.70344896,3.366660655,448.1804958,1,True,True,True,True
14,P-DINITROBENZENE,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],168.11,000100-25-4,69.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,38.66016,0.001332075,118.4,198.676,-36.77815958,21.18893031,15.58922927,-8.210914778,-3.180786805,5.030127972,FYFDQJRXFWGIBS-UHFFFAOYSA-N,1.503,39.7508,86.28,66.73735456,3.006149834,285.8248997,1,True,True,True,True
15,5-Nitroisophthalic acid,C1=C(C=C(C=C1C(=O)O)[N+](=O)[O-])C(=O)O,211.1306,000618-88-2,2210.808786,298.15,OChem,G4,64.68464,8.014904161,133.108,225.625,3.027797903,-8.513151555,5.485353652,-8.209600467,-2.69383717,5.515763297,NBDAHKQJXVLAID-UHFFFAOYSA-N,0.9912,47.015,117.74,82.72577478,3.387380075,373.4380114,1,True,True,True,True
16,2.4-DINITROBENZOIC ACID,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,212.1184,000610-30-0,18179.34965,298.15,OChem,G4,62.67632,5.477428728,132.238,224.368,-23.26552294,19.11841948,4.147103459,-8.202204408,-2.982151749,5.22005266,ZIIGSRYPZWDGBT-UHFFFAOYSA-N,1.2012,46.7101,123.58,82.05805253,3.396348978,454.7936738,1,True,True,True,True
17,3-methoxycarbonyl-5-nitrobenzoic acid,COC(=O)C1=CC(=CC(=C1)C(=O)O)[N+](=O)[O-],225.1574,001955-46-0,1900.0,298.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/13227/4/9/?documentUUID=961a7d73-914c-425e-a621-399bc5680e7d,G5,55.89824,8.547068323,151.769,256.984,-6.360424225,0.664652556,5.69577167,-8.193132128,-2.691779716,5.501352412,ZCRNIIJXDRYWDU-UHFFFAOYSA-N,1.0796,51.3952,106.74,89.41002837,3.347986893,434.8170566,1,True,True,True,True
18,1-FLUORO-2.4-DINITROBENZENE,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,186.1,000070-34-8,400.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,42.0492,5.225226563,117.382,196.512,-29.05768303,14.10259833,14.9550847,-8.190234114,-2.780792831,5.409441282,LOTKRQAVGJMPNV-UHFFFAOYSA-N,1.6421,39.7088,86.28,70.90288997,3.267052212,378.897043,1,True,True,True,True
