molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
0,184.412,19.37192,0.011312908,122.856,184.598,-1.924964847,-1.966770338,3.891735184,-9.082147614,-2.137439143,6.94470847,298.15,10.81559
1,213.1062,49.41304,0.023809511,135.223,227.373,-13.22202589,-13.3918705,26.61389639,-8.898476106,-3.07887467,5.819601436,288.15,5.62659
2,257.116,69.83096,2.089799365,144.345,245.084,24.19313321,-11.28603531,-12.9070979,-8.523268996,-3.264295871,5.258973125,297.15,9.92904
3,212.12,55.60536,4.897608007,137.044,231.247,-31.38640693,15.42667998,15.95972696,-8.479532113,-2.915388579,5.564143534,298.15,7.20786
4,247.5513,48.45072,0.310056557,142.857,235.395,21.16346597,-9.945874553,-11.21759142,-8.457148015,-3.18970126,5.267446755,289.15,6.27377
5,227.13,49.45488,1.920997649,140.783,238.91,22.36617206,-6.052296881,-16.31387517,-8.419218045,-2.971392361,5.447825683,296.15,4.74493
6,232.4103,43.0952,0.095456277,132.006,203.192,8.558615944,-4.298999479,-4.259616466,-8.394292402,-2.428640035,5.965652367,298.15,9.3926
7,173.13,60.83536,10.65236066,128.175,208.074,-26.89748916,13.28416214,13.61332702,-8.320062424,-3.129817132,5.190245292,298.15,5.29832
8,212.1184,59.74752,9.228948112,132.51,224.017,-14.09212452,11.32871674,2.763407782,-8.306492099,-3.066950635,5.239541464,298.15,8.80872
9,247.55,51.58872,9.015479488,142.524,234.041,-17.95194734,11.85310999,6.098837356,-8.301150501,-3.139343843,5.161806658,288.15,5.18171
10,168.11,39.37144,5.609447119,111.117,185.938,-27.10440962,11.15832592,15.9460837,-8.294793918,-2.780825485,5.513968433,298.15,6.27852
11,216.12,46.06584,6.805636776,137.053,228.042,-35.4642118,17.87147088,17.59274092,-8.287724396,-3.042471259,5.245253137,293.15,6.59441
12,368.3324,95.64624,3.882281202,190.369,315.765,-102.9972466,85.05947858,17.93776806,-8.269130847,-3.780466196,4.48866465,298.15,13.40897
13,192.1276,56.44216,7.773522334,130.2,216.056,-16.03579836,7.134584625,8.901213737,-8.22903757,-2.787960314,5.441077256,293.15,10.10234
14,168.11,38.66016,0.001332075,118.4,198.676,-36.77815958,21.18893031,15.58922927,-8.210914778,-3.180786805,5.030127972,298.15,4.23411
15,211.1306,64.68464,8.014904161,133.108,225.625,3.027797903,-8.513151555,5.485353652,-8.209600467,-2.69383717,5.515763297,298.15,7.70111
16,212.1184,62.67632,5.477428728,132.238,224.368,-23.26552294,19.11841948,4.147103459,-8.202204408,-2.982151749,5.22005266,298.15,9.80804
17,225.1574,55.89824,8.547068323,151.769,256.984,-6.360424225,0.664652556,5.69577167,-8.193132128,-2.691779716,5.501352412,298.15,7.54961
18,186.1,42.0492,5.225226563,117.382,196.512,-29.05768303,14.10259833,14.9550847,-8.190234114,-2.780792831,5.409441282,298.15,5.99146
19,295.2914,47.44656,9.939362426,205.692,356.955,2.751403619,10.77244217,-13.52384579,-8.159841701,-2.694368064,5.465473637,293.15,0.99322
20,327.3514,79.37048,6.17021044,191.509,336.18,-36.05743838,25.26767807,10.78976031,-8.155574953,-2.875425917,5.280149037,298.15,4.0413
21,313.3246,70.20752,3.475353035,181.421,316.084,-32.8584805,-2.556739822,35.41522032,-8.113397283,-2.806891285,5.306505999,298.15,2.84483
22,355.405,65.6888,6.163972373,207.406,367.557,-40.2045471,5.431425015,34.77312208,-8.113133333,-2.850111151,5.263022181,298.15,1.54532
23,168.1086,45.43824,9.062285424,112.327,188.189,8.27731648,-8.527737388,0.250420908,-8.112869382,-2.86746114,5.245408242,298.15,4.88975
24,285.271,69.2452,8.060202022,172.852,295.346,-39.79902847,27.61258802,12.18644045,-8.062234409,-2.800600009,5.2616344,298.15,4.77915
25,202.18,68.1992,10.31849761,119.31,201.235,22.76468902,-8.228510133,-14.53617889,-8.056343141,-2.051478875,6.004864266,298.15,13.12236
26,167.12,60.12408,4.931519989,116.161,195.056,-35.58328617,30.82500687,4.758279308,-8.055853336,-1.887644206,6.16820913,298.15,8.51719
27,202.55,40.1664,4.927605656,129.069,210.861,-24.61162856,14.85092275,9.760705805,-8.054734947,-2.870233982,5.184500966,298.15,2.22354
28,301.172,66.14904,5.821166569,168.869,290.516,30.5704493,-26.83246402,-3.737985284,-8.054343103,-3.365037916,4.689305187,295.15,4.09426
