molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
0,298.15,10.81559,-0.34591,3640.06432,0.0,0.0,0.9359,1.5718,-12.6922,-9.8193
1,288.15,5.62659,-0.1706,5514.21758,4.0849,0.0,2.1712,-5.8534,-51.2423,-49.8768
2,297.15,9.92904,-0.36163,7613.11359,2.7308,1.52,2.7734,-6.7661,-63.4318,-63.8414
3,298.15,7.20786,-0.38808,5941.27511,3.8788,1.3091,2.76,-5.7576,-63.5038,-63.2179
4,289.15,6.27377,-0.14326,6854.25772,2.7612,0.0,1.8467,-4.3244,-42.5779,-40.2823
5,296.15,4.74493,-0.21739,6771.24302,5.8729,0.0,2.5896,-4.8391,-60.7557,-55.3247
6,298.15,9.3926,-0.46748,5001.3984,0.0,0.0,1.0366,0.4908,-17.7597,-18.5546
7,298.15,5.29832,-0.21899,5256.94168,2.8006,0.0,1.8501,-13.9203,-36.8765,-47.9289
8,298.15,8.80872,-0.37412,5956.90141,3.4595,1.3021,2.5528,-5.7643,-58.4778,-59.9976
9,288.15,5.18171,-0.12235,6875.38899,2.1541,0.0,1.5576,-4.3381,-36.0656,-36.2756
10,298.15,6.27852,-0.15841,4129.40634,4.2648,0.0,1.8,-4.8556,-43.3877,-40.7984
11,293.15,6.59441,-0.24302,5549.54516,3.2563,0.0,2.008,-5.3155,-45.2403,-43.8166
12,298.15,13.40897,-1.20184,22689.11094,5.4404,2.4249,3.9763,-10.9432,-88.3295,-92.9092
13,293.15,10.10234,-0.53082,5833.47962,3.0863,1.241,2.6403,-9.8588,-57.8386,-62.6792
14,298.15,4.23411,-0.16236,4125.6097,4.3393,0.0,1.8072,-4.8552,-43.5471,-40.8958
15,298.15,7.70111,-0.60742,6386.65464,3.6963,2.5304,3.3418,-5.6626,-75.2038,-77.2441
16,298.15,9.80804,-0.36579,5954.29373,3.5249,1.382,2.5686,-5.7659,-59.3317,-59.3943
17,298.15,7.54961,-0.56143,7751.9478,6.0141,1.21,3.5095,-4.6305,-78.68,-72.9442
18,298.15,5.99146,-0.15266,4215.64025,3.4941,0.0,1.7922,-4.1313,-42.9113,-41.6354
19,293.15,0.99322,-0.66701,16417.36346,10.3181,0.0,4.1139,0.8712,-92.9737,-68.7099
20,298.15,4.0413,-0.70952,19821.37751,10.2353,0.0,3.7024,-0.6365,-84.6758,-66.1344
21,298.15,2.84483,-0.70625,17506.51248,10.1387,0.0,3.8326,-1.7287,-87.2167,-68.665
