molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
1,288.15,5.62659,-0.1706,5514.21755,4.0849,0.0,2.1712,-5.8534,-51.2423,-49.8768
3,298.15,7.20786,-0.38812,5941.29478,3.8788,1.3091,2.76,-5.7576,-63.5038,-63.2179
4,289.15,6.27377,-0.14327,6854.16523,2.7612,0.0,1.8467,-4.3244,-42.5779,-40.2823
5,296.15,4.74493,-0.21739,6771.31093,5.8729,0.0,2.5896,-4.8391,-60.7557,-55.3247
7,298.15,5.29832,-0.21901,5256.94169,2.8006,0.0,1.8501,-13.9203,-36.8765,-47.9289
8,298.15,8.80872,-0.37432,5957.10518,3.4595,1.3021,2.5528,-5.7643,-58.4778,-59.9976
9,288.15,5.18171,-0.12253,6875.47856,2.1541,0.0,1.5576,-4.3381,-36.0656,-36.2756
10,298.15,6.27852,-0.15841,4129.40633,4.2648,0.0,1.8,-4.8556,-43.3877,-40.7984
11,293.15,6.59441,-0.24302,5549.51194,3.2563,0.0,2.008,-5.3155,-45.2403,-43.8166
14,298.15,4.23411,-0.16236,4125.60971,4.3393,0.0,1.8072,-4.8552,-43.5471,-40.8958
15,298.15,7.70111,-0.6072,6386.55519,3.6963,2.5304,3.3418,-5.6626,-75.2038,-77.2441
16,298.15,9.80804,-0.36685,5954.29371,3.5249,1.382,2.5686,-5.7659,-59.3317,-59.3943
17,298.15,7.54961,-0.56184,7751.87804,6.0141,1.21,3.5095,-4.6305,-78.68,-72.9442
18,298.15,5.99146,-0.15267,4215.73339,3.4941,0.0,1.7922,-4.1313,-42.9113,-41.6354
19,293.15,0.99322,-0.66667,16402.08148,10.3181,0.0,4.1139,0.8712,-92.9737,-68.7099
20,298.15,4.0413,-0.71023,19728.28795,10.2353,0.0,3.7024,-0.6365,-84.6758,-66.1344
21,298.15,2.84483,-0.70503,17551.58673,10.1387,0.0,3.8326,-1.7287,-87.2167,-68.665
22,298.15,1.54532,-0.78746,24569.44853,11.772,0.0,4.011,1.6079,-91.947,-68.1832
23,298.15,4.88975,-0.13748,4149.11104,3.6665,0.0,1.5286,-4.8661,-37.1639,-36.7603
24,298.15,4.77915,-0.63317,13563.76644,9.2338,0.0,3.6789,-3.9612,-83.3827,-68.5983
26,298.15,8.51719,-0.62375,4499.30626,2.6114,2.4366,2.8734,-4.734,-61.196,-62.1409
28,295.15,4.09426,-0.32422,11365.21286,7.2558,0.0,3.3893,-4.9323,-77.9269,-69.1295
