MolecularVolume,SolvationEnergy,MolecularSurfaceArea,MolarMass,DipoleMoment,gap,MolLogP,fr_benzene,PEOE_VSA6,NumAromaticCarbocycles,SMR_VSA6,MolMR,rdf_alp,rdf_eeq,dga,sa,sdc,dgp,356,849,561,659,726,366,molindx,logS
122.856,19.37192,184.598,184.412,0.011312908,6.94470847,1.8318,0,0.0,0,0.0,34.857000000000006,3640.06432,-0.34591,1.5718,0.9359,0.0,-12.6922,3.0,0.0,3.0,3.0,0.0,0.0,0,10.81559
135.223,49.41304,227.373,213.1062,0.023809511,5.819601436,1.4112000000000005,1,0.0,1,0.0,46.4052,5514.21758,-0.1706,-5.8534,2.1712,4.0849,-51.2423,3.0,3.0,0.0,0.0,0.0,0.0,1,5.62659
144.345,69.83096,245.084,257.116,2.089799365,5.258973125,1.1094000000000002,1,0.0,1,0.0,53.36449999999999,7613.11359,-0.36163,-6.7661,2.7734,2.7308,-63.4318,4.0,2.0,0.0,0.0,0.0,0.0,2,9.92904
137.044,55.60536,231.247,212.12,4.897608007,5.564143534,1.2012000000000005,1,0.0,1,0.0,46.7101,5941.27511,-0.38808,-5.7576,2.76,3.8788,-63.5038,3.0,3.0,0.0,0.0,0.0,0.0,3,7.20786
142.857,48.45072,235.395,247.5513,0.310056557,5.267446755,2.064600000000001,1,11.600939890232516,1,0.0,51.41519999999999,6854.25772,-0.14326,-4.3244,1.8467,2.7612,-42.5779,4.0,2.0,1.0,1.0,2.0,0.0,4,6.27377
140.783,49.45488,238.91,227.13,1.920997649,5.447825683,1.7196200000000006,1,0.0,1,0.0,51.1422,6771.24302,-0.21739,-4.8391,2.5896,5.8729,-60.7557,4.0,2.0,0.0,0.0,0.0,0.0,5,4.74493
132.006,43.0952,203.192,232.4103,0.095456277,5.965652367,-0.8226,0,0.0,0,0.0,42.975,5001.3984,-0.46748,0.4908,1.0366,0.0,-17.7597,3.0,0.0,0.0,3.0,0.0,0.0,6,9.3926
128.175,60.83536,208.074,173.13,10.65236066,5.190245292,1.3381599999999998,1,6.06636706846161,1,0.0,42.52640000000001,5256.94168,-0.21899,-13.9203,1.8501,2.8006,-36.8765,3.0,3.0,0.0,0.0,2.0,0.0,7,5.29832
132.51,59.74752,224.017,212.1184,9.228948112,5.239541464,1.2012,1,0.0,1,0.0,46.7101,5956.90141,-0.37412,-5.7643,2.5528,3.4595,-58.4778,3.0,3.0,0.0,0.0,2.0,0.0,8,8.80872
142.524,51.58872,234.041,247.55,9.015479488,5.161806658,2.0646000000000004,1,11.600939890232516,1,0.0,51.4152,6875.38899,-0.12235,-4.3381,1.5576,2.1541,-36.0656,4.0,2.0,1.0,1.0,2.0,1.0,9,5.18171
111.117,39.37144,185.938,168.11,5.609447119,5.513968433,1.503,1,0.0,1,0.0,39.750800000000005,4129.40634,-0.15841,-4.8556,1.8,4.2648,-43.3877,2.0,4.0,1.0,0.0,2.0,0.0,10,6.27852
137.053,46.06584,228.042,216.12,6.805636776,5.245253137,2.4852800000000004,1,0.0,1,0.0,42.81340000000001,5549.54516,-0.24302,-5.3155,2.008,3.2563,-45.2403,3.0,3.0,0.0,0.0,2.0,0.0,11,6.59441
190.369,95.64624,315.765,368.3324,3.882281202,4.48866465,0.9554000000000002,2,24.26546827384644,2,0.0,79.37820000000004,22689.11094,-1.20184,-10.9432,3.9763,5.4404,-88.3295,8.0,6.0,0.0,0.0,4.0,0.0,12,13.40897
130.2,56.44216,216.056,192.1276,7.773522334,5.441077256,0.6954,1,0.0,1,0.0,43.1473,5833.47962,-0.53082,-9.8588,2.6403,3.0863,-57.8386,5.0,3.0,0.0,0.0,2.0,0.0,13,10.10234
118.4,38.66016,198.676,168.11,0.001332075,5.030127972,1.5030000000000003,1,0.0,1,0.0,39.750800000000005,4125.6097,-0.16236,-4.8552,1.8072,4.3393,-43.5471,2.0,4.0,0.0,0.0,4.0,0.0,14,4.23411
133.108,64.68464,225.625,211.1306,8.014904161,5.515763297,0.9912,1,0.0,1,0.0,47.015,6386.65464,-0.60742,-5.6626,3.3418,3.6963,-75.2038,3.0,3.0,0.0,0.0,0.0,0.0,15,7.70111
132.238,62.67632,224.368,212.1184,5.477428728,5.22005266,1.2011999999999998,1,0.0,1,0.0,46.7101,5954.29373,-0.36579,-5.7659,2.5686,3.5249,-59.3317,3.0,3.0,0.0,0.0,2.0,1.0,16,9.80804
151.769,55.89824,256.984,225.1574,8.547068323,5.501352412,1.0796,1,0.0,1,7.109797541277533,51.3952,7751.9478,-0.56143,-4.6305,3.5095,6.0141,-78.68,3.0,3.0,0.0,0.0,0.0,0.0,17,7.54961
117.382,42.0492,196.512,186.1,5.225226563,5.409441282,1.6421,1,0.0,1,0.0,39.7088,4215.64025,-0.15266,-4.1313,1.7922,3.4941,-42.9113,3.0,3.0,0.0,0.0,2.0,0.0,18,5.99146
205.692,47.44656,356.955,295.2914,9.939362426,5.465473637,2.725200000000001,1,0.0,1,0.0,74.19940000000003,16417.36346,-0.66701,0.8712,4.1139,10.3181,-92.9737,3.0,3.0,0.0,0.0,0.0,0.0,19,0.99322
191.509,79.37048,336.18,327.3514,6.17021044,5.280149037,2.2428,1,0.0,1,0.0,78.09220000000003,19821.37751,-0.70952,-0.6365,3.7024,10.2353,-84.6758,2.0,4.0,0.0,0.0,4.0,0.0,20,4.0413
181.421,70.20752,316.084,313.3246,3.475353035,5.306505999,1.8527,1,0.0,1,0.0,73.47520000000003,17506.51248,-0.70625,-1.7287,3.8326,10.1387,-87.2167,2.0,4.0,0.0,0.0,4.0,0.0,21,2.84483
207.406,65.6888,367.557,355.405,6.163972373,5.263022181,3.023000000000001,1,19.26246486877803,1,0.0,87.32620000000004,24647.73283,-0.78519,1.6079,4.011,11.772,-91.947,2.0,4.0,0.0,0.0,4.0,0.0,22,1.54532
112.327,45.43824,188.189,168.1086,9.062285424,5.245408242,1.503,1,12.13273413692322,1,0.0,39.75080000000001,4148.97543,-0.13772,-4.8661,1.5286,3.6665,-37.1639,2.0,4.0,0.0,0.0,2.0,0.0,23,4.88975
172.852,69.2452,295.346,285.271,8.060202022,5.2616344,1.0741,1,0.0,1,7.109797541277533,64.26320000000003,13523.65201,-0.63186,-3.9612,3.6789,9.2338,-83.3827,2.0,4.0,0.0,0.0,4.0,0.0,24,4.77915
119.31,68.1992,201.235,202.18,10.31849761,6.004864266,0.6315000000000001,1,12.13273413692322,1,0.0,43.215900000000005,6546.94412,-0.78212,-2.0451,2.7391,3.2697,-61.1778,2.0,4.0,0.0,0.0,2.0,0.0,25,13.12236
116.161,60.12408,195.056,167.12,4.931519989,6.16820913,0.478,0,6.06636706846161,0,0.0,38.1556,4499.30625,-0.62489,-4.734,2.8734,2.6114,-61.196,2.0,3.0,0.0,0.0,2.0,0.0,26,8.51719
129.069,40.1664,210.861,202.55,4.927605656,5.184500966,2.1564000000000005,1,11.600939890232516,1,0.0,44.76080000000001,5277.75169,-0.13631,-3.3284,1.6128,3.337,-38.3041,3.0,3.0,1.0,1.0,2.0,1.0,27,2.22354
168.869,66.14904,290.516,301.172,5.821166569,4.689305187,1.4292000000000002,1,5.008912523954532,1,11.553668929867108,66.41959999999999,11364.25997,-0.32395,-4.9323,3.3893,7.2558,-77.9269,4.0,2.0,0.0,0.0,0.0,0.0,28,4.09426
137.428,53.01128,235.4,207.1854,8.703511026,5.437710934,2.0003,1,0.0,1,0.0,51.53790000000002,7819.31938,-0.33909,-6.0243,2.2769,5.875,-52.1725,4.0,3.0,0.0,0.0,2.0,0.0,29,5.2148
216.213,65.77248,384.939,369.4318,6.127910949,5.186903732,3.4131000000000027,1,25.68328649170404,1,0.0,91.94320000000006,27215.75046,-0.80764,2.7045,3.833,11.5052,-88.1961,2.0,4.0,0.0,0.0,4.0,0.0,30,1.14423
82.337,36.23344,138.992,113.0756,2.757818063,5.447649081,0.3178999999999999,0,5.098681808301038,0,0.0,25.2421,1766.78373,-0.20076,-3.7896,1.7528,1.9614,-36.2246,1.0,2.0,0.0,0.0,1.0,0.0,31,8.6759
127.041,54.05728,215.903,193.1586,8.5354088,5.427111549,1.8262000000000005,1,0.0,1,0.0,46.92690000000002,6440.78116,-0.3,-7.1544,2.1739,5.2647,-50.0462,4.0,3.0,0.0,0.0,2.0,0.0,32,6.1484
130.52,52.34184,225.96,207.1854,8.571234827,5.405564474,2.2163000000000004,1,6.923737199690624,1,0.0,51.543900000000015,7798.86855,-0.3356,-6.0377,2.2584,5.8556,-52.1559,4.0,3.0,0.0,0.0,2.0,0.0,33,6.36978
125.403,55.2288,209.062,179.13,8.286848177,5.430725495,1.2652,1,0.0,1,0.0,42.21590000000002,5202.7672,-0.25955,-8.2783,2.0559,4.5346,-47.1287,4.0,3.0,0.0,0.0,2.0,0.0,34,5.99146
110.925,39.91536,181.997,148.12,7.71532551,5.550677428,0.9972,1,12.13273413692322,1,0.0,36.18800000000001,4049.85367,-0.28935,-8.9661,1.5213,3.0929,-33.8701,4.0,4.0,0.0,0.0,2.0,0.0,35,8.69951
122.477,39.58064,207.098,182.14,6.543605467,5.335960978,1.8114200000000005,1,0.0,1,0.0,44.487800000000014,5240.06949,-0.19571,-3.8513,2.0071,5.3515,-48.0576,3.0,3.0,0.0,0.0,2.0,0.0,36,5.29832
128.639,95.47888,219.763,203.0909,10.20809903,5.437489433,0.3977999999999997,1,6.06636706846161,1,0.0,44.77450000000001,6571.53611,-0.52526,-0.8247,2.8432,3.907,-65.2799,3.0,4.0,0.0,0.0,2.0,0.0,37,13.79523
142.111,61.17008,242.807,225.1574,4.014147034,5.267988262,1.0796,1,0.0,1,7.109797541277533,51.39520000000001,7769.62189,-0.5452,-4.634,3.3822,5.8589,-75.9512,3.0,3.0,0.0,0.0,2.0,0.0,38,7.5909
133.04,56.19112,223.895,229.11,2.665501198,4.783070229,1.116800000000001,1,0.0,1,0.0,48.07,6034.14987,-0.287,-6.1995,2.4905,2.7521,-57.7333,4.0,2.0,0.0,0.0,0.0,0.0,39,9.44936
88.576,55.35432,149.761,129.075,0.026563068,7.874353407,-1.0959900000000002,0,0.0,0,0.0,20.8041,2088.86793,-0.7881,-3.9187,2.7424,0.0,-51.6289,3.0,0.0,0.0,0.0,0.0,0.0,40,4.60504
120.896,61.79768,200.471,183.18,5.40265102,6.060622874,0.1187,1,12.13273413692322,1,0.0,41.09400000000001,5956.42884,-0.6261,-7.477,2.1913,3.1257,-46.7025,3.0,4.0,0.0,0.0,2.0,0.0,41,8.29405
89.137,65.73064,152.349,129.08,0.015627852,7.889901728,-2.2485000000000004,0,0.0,0,0.0,28.3041,2053.09102,-0.85795,-4.078,2.7968,0.0,-55.0105,3.0,0.0,0.0,0.0,0.0,0.0,42,8.51719
113.07,45.98216,189.877,167.12,7.220044364,5.439678862,1.293,1,6.06636706846161,1,0.0,40.05570000000001,4505.97322,-0.37472,-4.7687,2.2553,3.8553,-52.1092,2.0,4.0,0.0,0.0,2.0,0.0,43,8.18312
140.32,70.66776,238.291,210.14,4.060125966,6.165640646,0.7812000000000001,1,0.0,1,0.0,47.3199,6849.94525,-0.8272,-5.5744,3.8362,3.4385,-84.7514,3.0,3.0,0.0,0.0,0.0,0.0,44,10.17732
132.436,67.94816,224.896,217.2,7.626057725,5.354067172,1.14992,1,6.06636706846161,1,0.0,47.64800000000002,7399.74071,-0.59772,-1.1256,2.6035,5.0567,-59.3922,3.0,3.0,0.0,0.0,2.0,0.0,45,13.41055
129.03,78.57552,217.975,211.1306,9.840914831,5.911838014,0.9912,1,6.06636706846161,1,0.0,47.015,6421.85752,-0.57163,-5.681,2.8827,2.6539,-64.475,3.0,3.0,0.0,0.0,2.0,0.0,46,7.67786
120.896,45.43824,203.673,167.12,4.862594908,5.178468198,1.293,1,0.0,1,0.0,40.0557,4501.8528,-0.37836,-4.7662,2.2895,3.9698,-52.8822,2.0,4.0,0.0,0.0,4.0,0.0,47,5.29832
127.114,73.09448,215.978,211.1306,7.996701386,5.238828526,0.9912,1,6.06636706846161,1,0.0,47.015,6419.76547,-0.57092,-5.6754,2.9976,2.7716,-67.2391,3.0,3.0,0.0,0.0,2.0,0.0,48,9.90929
158.989,55.35432,271.007,239.1842,8.002517876,5.187837083,1.168,1,0.0,1,14.219595082555069,55.77540000000001,9270.72877,-0.49039,-3.6078,3.4168,7.5651,-76.0168,3.0,3.0,0.0,0.0,2.0,0.0,49,5.85507
133.915,68.28288,227.75,211.1306,5.99647532,5.014138554,0.9912,1,0.0,1,0.0,47.01499999999999,6400.98059,-0.59134,-5.6732,3.1143,3.2957,-69.8373,3.0,3.0,0.0,0.0,2.0,0.0,50,9.17684
178.185,64.34992,312.329,281.2646,7.871107129,5.194112032,2.4959,1,19.913841467842857,1,6.606881964512918,69.79320000000003,14501.92449,-0.69462,-0.1774,3.6374,7.8077,-82.5315,3.0,3.0,0.0,0.0,2.0,0.0,51,5.48065
138.685,65.0612,236.2,225.1574,7.953089382,5.239773033,1.0796,1,6.06636706846161,1,7.109797541277533,51.39520000000001,7794.02777,-0.53717,-4.6472,3.1183,5.2682,-70.0167,3.0,3.0,0.0,0.0,2.0,0.0,52,7.52297
141.56,61.12824,241.184,225.1574,6.886138554,5.060275482,1.0796,1,0.0,1,7.109797541277533,51.39520000000001,7768.85504,-0.55262,-4.6327,3.3981,5.903,-76.2526,3.0,3.0,0.0,0.0,2.0,0.0,53,8.36181
167.259,106.02256,277.647,281.32,7.580694346,5.157507257,-0.2443999999999998,0,0.0,0,5.752853606746789,56.69250000000002,12387.47241,-0.98683,-2.5938,3.3672,4.5734,-70.2549,4.0,1.0,0.0,0.0,0.0,0.0,54,4.09434
178.532,39.58064,277.393,296.5551,6.883688152,5.419024321,3.2585000000000006,1,46.93555380762077,1,0.0,64.82300000000001,12851.87277,-0.33519,-1.2894,1.3754,2.8819,-29.0929,4.0,4.0,0.0,3.0,2.0,0.0,55,-0.22311
170.895,64.4336,297.893,267.2378,7.785647198,5.209372185,2.1058,1,19.913841467842857,1,6.606881964512918,65.17620000000002,12627.72075,-0.65134,-1.296,3.5298,7.3031,-79.3921,3.0,3.0,0.0,0.0,2.0,0.0,56,5.48061
184.932,38.11624,328.688,279.3352,5.748184831,5.143087936,3.968000000000004,1,33.10993926815928,1,6.606881964512918,76.68490000000004,17290.19977,-0.52589,4.051,2.7916,9.0125,-65.4241,2.0,4.0,0.0,0.0,4.0,0.0,57,0.33647
134.524,57.27896,226.64,245.11,2.68047788,4.82035529,0.8224000000000007,1,0.0,1,0.0,49.7348,6576.80994,-0.40112,-6.5534,2.7261,1.3786,-62.4948,5.0,1.0,0.0,0.0,0.0,0.0,58,8.58298
168.541,64.26624,293.897,267.2378,7.68217802,5.200727123,2.2499,1,19.410925891078243,1,6.606881964512918,65.24620000000002,12622.34366,-0.64575,-1.2926,3.5835,7.2022,-80.8665,3.0,3.0,0.0,0.0,2.0,0.0,59,6.23447
140.66,94.60024,240.878,245.2064,8.919615938,6.125503287,-0.2696000000000001,1,6.06636706846161,1,0.0,51.7338,9357.20413,-1.13315,-2.7808,4.0985,2.4566,-85.9894,3.0,3.0,0.0,0.0,2.0,0.0,60,8.10172
226.141,84.64232,383.761,445.3,12.28521365,6.10973292,2.4282000000000004,1,12.13273413692322,1,12.426586145283864,82.16520000000003,23701.30186,-1.47824,-1.107,5.4087,6.3027,-113.2259,5.0,4.0,0.0,0.0,2.0,0.0,61,4.36055
153.25,64.60096,263.028,239.1842,7.675580151,5.202101299,1.4697,1,6.06636706846161,1,6.606881964512918,56.01220000000001,9270.26134,-0.59339,-3.516,3.4997,6.3426,-78.5728,3.0,3.0,0.0,0.0,2.0,0.0,62,7.97255
158.026,63.88968,273.538,253.211,7.683079608,5.203135332,1.8598,1,12.990104268152232,1,6.606881964512918,60.62920000000002,10868.79417,-0.6326,-2.4011,3.5596,6.8911,-80.0705,3.0,3.0,0.0,0.0,2.0,0.0,63,7.03873
158.809,65.22856,275.18,253.211,7.954473665,5.219396321,1.8582,1,6.06636706846161,1,0.0,60.60720000000001,10884.78149,-0.63395,-2.3944,3.6057,6.9117,-81.1581,3.0,3.0,0.0,0.0,2.0,0.0,64,6.70923
118.068,45.31272,189.51,128.13,9.93923132,5.810838821,1.42996,1,12.13273413692322,1,0.0,35.872000000000014,3912.42967,-0.20164,-12.9322,1.3185,2.9549,-23.9518,2.0,4.0,0.0,0.0,2.0,0.0,65,5.97889
120.231,40.1664,203.978,182.14,4.020743701,5.376776174,1.8114200000000005,1,0.0,1,0.0,44.487800000000014,5238.45424,-0.20378,-3.847,2.1057,5.7851,-50.3773,3.0,3.0,0.0,0.0,2.0,0.0,66,5.31812
139.955,67.19504,238.694,215.2234,8.106226311,5.393674453,1.3067199999999997,1,6.06636706846161,1,6.255769183511404,50.94320000000001,8237.40567,-0.43077,-1.0433,2.431,6.845,-56.0127,3.0,3.0,0.0,0.0,2.0,0.0,67,5.9135
96.513,39.66432,160.917,123.11,7.523744012,6.246485171,0.7797999999999998,0,6.06636706846161,0,0.0,31.196299999999997,2944.89465,-0.37481,-3.8443,1.947,2.9304,-40.8369,1.0,4.0,0.0,0.0,1.0,0.0,68,13.77469
143.015,113.34456,244.882,236.2602,9.04095231,6.455033341,-1.0185999999999995,1,6.06636706846161,1,0.0,49.18840000000001,9505.20989,-1.20975,0.9082,3.7532,3.4698,-75.9677,2.0,4.0,0.0,0.0,2.0,0.0,69,7.37769
208.075,97.278,354.842,367.3356,10.14139737,6.029351261,0.3972199999999999,1,12.13273413692322,1,12.426586145283864,83.85750000000006,23325.87442,-1.54594,-8.1744,6.0343,7.0553,-118.5824,5.0,4.0,0.0,0.0,2.0,0.0,70,5.14749
94.599,32.34232,153.431,104.11,2.459439968,6.002502589,0.95328,0,0.0,0,0.0,28.952,2541.33216,-0.19323,-7.9735,1.4177,3.1227,-25.7043,1.0,4.0,0.0,0.0,2.0,0.0,71,10.59663
152.324,58.3668,256.619,219.1964,5.245246826,5.470569516,1.4391,1,12.13273413692322,1,6.606881964512918,53.96400000000002,9118.02426,-0.56862,-7.6232,2.7186,6.0261,-58.4412,4.0,4.0,0.0,0.0,2.0,0.0,72,5.99146
223.439,108.07272,380.353,381.3624,16.03230812,6.037897817,0.4856199999999998,1,12.13273413692322,1,19.5363836865614,88.23770000000005,25950.8958,-1.52426,-7.1402,6.3081,9.2458,-124.2419,5.0,4.0,0.0,0.0,2.0,0.0,73,9.15816
107.495,43.68096,175.134,144.1478,3.782330289,6.150456957,0.54472,0,4.48824326877028,0,0.0,31.60529999999999,3207.592,-0.35763,-2.3465,1.8367,2.209,-36.6512,2.0,0.0,0.0,0.0,0.0,0.0,74,10.81987
122.598,38.53464,208.241,182.14,1.086022349,4.822235597,1.8114200000000005,1,0.0,1,0.0,44.487800000000014,5235.57694,-0.20178,-3.8484,2.0584,5.4958,-49.2466,3.0,3.0,0.0,0.0,2.0,0.0,75,5.38907
116.906,33.01176,189.229,176.6173,7.295471329,5.604735868,1.6141,1,18.19910120538483,1,0.0,39.480800000000016,5317.63985,-0.3293,-0.5393,1.2087,3.5597,-27.963,1.0,5.0,0.0,1.0,2.0,0.0,76,7.74066
155.323,37.0284,271.635,213.2358,0.214566258,7.579064709,1.0677,0,0.0,0,19.820645893538757,53.33400000000003,8950.23596,-0.79831,2.3672,3.7766,7.5627,-73.0276,3.0,0.0,0.0,0.0,0.0,0.0,77,8.85358
200.81,49.7896,354.081,326.3054,7.586522182,5.013360308,3.940300000000004,1,13.847474399381248,1,0.0,80.70180000000003,18723.54233,-0.62166,1.5532,3.9025,10.0774,-89.4894,4.0,2.0,0.0,0.0,0.0,1.0,78,1.37877
91.817,32.96992,149.074,104.11,5.19861222,6.248551061,0.95328,0,0.0,0,0.0,28.952,2541.0809,-0.19431,-7.9734,1.3937,3.1397,-25.3326,1.0,4.0,0.0,0.0,1.0,0.0,79,11.81303
103.98,62.21608,168.612,165.1816,7.004027162,6.597439849,0.3898000000000001,0,0.0,0,0.0,31.9286,3855.64441,-0.53622,-0.6494,1.8329,1.9601,-38.1482,1.0,2.0,0.0,0.0,0.0,0.0,80,12.8435
152.359,102.17328,261.079,254.1526,5.926035384,5.751762599,0.4794,1,0.0,1,0.0,54.27919999999999,9157.58001,-1.01672,-6.4861,4.5449,2.4725,-99.7633,4.0,2.0,0.0,0.0,2.0,0.0,81,9.54674
92.946,35.52216,150.606,104.11,7.75405426,6.194964739,0.95328,0,6.06636706846161,0,0.0,28.952,2545.19007,-0.20342,-7.967,1.3246,2.844,-23.9495,1.0,4.0,0.0,0.0,1.0,0.0,82,11.15625
244.362,83.21976,420.645,492.2258,7.396906287,4.568290649,-1.0319999999999996,1,12.13273413692322,1,13.213763929025836,94.43540000000004,26398.80201,-0.62114,-5.6346,4.7745,9.6237,-109.2711,2.0,4.0,0.0,0.0,2.0,0.0,83,4.86758
173.47,31.54736,261.049,265.91,4.000736121,5.209736818,4.04356,1,46.40375956093006,1,0.0,55.912000000000006,9283.72049,-0.14701,-6.8068,1.0263,0.0,-15.7502,6.0,0.0,4.0,4.0,0.0,0.0,84,-0.21072
112.775,62.09056,189.951,167.12,4.404370532,5.732004674,0.478,0,0.0,0,0.0,38.1556,4490.29947,-0.63496,-4.735,3.0823,3.0011,-65.5007,2.0,3.0,0.0,0.0,1.0,0.0,85,7.82004
118.961,48.49256,200.033,185.1113,7.694228092,5.241296055,1.4321,1,0.0,1,0.0,40.0137,4592.50817,-0.36933,-4.0408,2.3096,3.2132,-53.1445,3.0,3.0,0.0,0.0,2.0,0.0,86,8.48856
125.787,65.6888,214.029,225.1851,8.314360481,6.517591805,1.3528,1,12.13273413692322,1,0.0,42.81720000000001,6739.6897,-0.74026,2.5854,2.4952,3.0264,-54.2554,2.0,4.0,0.0,0.0,2.0,0.0,87,5.8999
125.967,89.83048,215.027,211.1306,5.432355514,5.557996479,0.1761999999999999,0,0.0,0,0.0,45.11489999999999,6396.71616,-0.83116,-5.6428,3.7972,1.9718,-80.6469,3.0,2.0,0.0,0.0,1.0,0.0,88,9.39351
145.825,58.11576,247.37,243.1324,3.860962537,5.009686769,1.4198000000000002,1,0.0,1,7.109797541277533,52.95719999999999,7361.84752,-0.24715,-5.1593,2.7713,5.7135,-64.1992,4.0,2.0,0.0,0.0,0.0,0.0,89,5.29789
126.922,16.44312,214.392,214.11,2.989990107,6.861033143,3.7242000000000006,1,6.06636706846161,1,0.0,36.44600000000001,4420.99514,-0.24687,4.2865,1.8436,3.9317,-46.7765,2.0,4.0,0.0,0.0,2.0,0.0,90,3.71113
172.684,50.6264,302.969,282.2524,8.438419994,5.007390126,2.9418000000000024,1,13.847474399381248,1,0.0,69.76580000000001,13831.59426,-0.46407,-0.3731,3.2436,8.4038,-74.8632,4.0,2.0,0.0,0.0,0.0,0.0,91,7.69625
170.415,34.60168,259.384,285.8982,4.563658062,4.819702216,3.6107999999999993,1,46.40375956093006,1,0.0,56.228,9497.72756,-0.22019,-2.8436,1.1033,0.0,-22.1191,8.0,0.0,4.0,4.0,0.0,0.0,92,-3.04073
117.389,47.15368,193.908,147.13,4.858765584,5.719269739,1.25648,1,0.0,1,0.0,38.1163,4386.59266,-0.40243,-8.8042,2.0738,3.4623,-43.4577,2.0,4.0,0.0,0.0,4.0,0.0,93,7.09008
129.589,46.81896,212.78,201.5659,1.86549686,5.154003245,1.9464,1,11.600939890232516,1,0.0,45.06570000000001,5699.71591,-0.34473,-3.2416,2.1264,3.0503,-48.8033,3.0,4.0,1.0,1.0,2.0,1.0,94,8.18872
123.184,56.14928,201.952,159.14,2.62231282,5.700143662,1.22868,1,0.0,1,0.0,40.27650000000001,5078.77968,-0.28703,-12.3166,1.8382,4.0607,-37.7094,4.0,3.0,0.0,0.0,2.0,0.0,95,6.80239
