Bit,SMILES
0,[n](-[CH3])(:[c](:[n])=[O]):[c](:[c]):[n]
1,[CH]
2,[CH2](-[CH2]-[CH2])-[CH2]-[CH2]
3,[c](:[c])(:[cH])-[CH]
4,[CH2](-[CH2])-[CH2]
5,[cH]1:[cH]:[cH]:[cH]:[c](-[C]):[c]:1-[C](=[O])-[O]
6,[cH]1:[cH]:[cH]:[cH]:[c](-[CH2]):[c]:1-[c](:[c]):[cH]
7,[c]1(-[O]-[c](:[c]):[cH]):[cH]:[cH]:[c]:[c](-[C]):[cH]:1
8,[cH](:[cH]:[cH]):[c](:[c])-[F]
9,[cH]1:[cH]:[c](-[NH2]):[cH]:[cH]:[c]:1-[S](-[NH])(=[O])=[O]
10,[O](-[CH2]-[CH2])-[c](:[cH]):[cH]
11,[C](-[CH3])(=[O])-[O]
12,[CH2](-[O]-[c](:[c]):[cH])-[CH](-[OH])-[CH2]-[OH]
13,[CH2](-[CH2])-[O]
14,[cH](:[cH]):[s]
15,[cH](:[cH]:[c]):[cH]:[c]
16,[O](-[CH3])-[C](-[NH])=[O]
17,[c](:[cH])(:[o])-[S]
18,[c](:[c])(:[cH])-[N]
19,[cH](:[cH]:[c]):[cH]:[n]
20,[N](-[CH2]-[CH3])(-[CH2]-[CH3])-[c](:[n]):[n]
21,[c](:[cH]:[cH])(:[cH]:[cH])-[CH2]-[CH2]
22,[c]1(-[Cl]):[c](-[O]-[c]):[cH]:[cH]:[c](-[Cl]):[c]:1-[Cl]
23,[C](=[O])(-[OH])-[c](:[c]):[cH]
24,[O](-[c])-[P]
25,[cH](:[cH]:[c]):[c](-[CH]):[cH]
26,[F]-[CH]
27,[cH](:[cH]:[cH]):[c](:[cH])-[S]
28,[CH2](-[OH])-[CH2]-[N]
29,[cH]1:[c](-[Cl]):[cH]:[cH]:[c](-[O]):[c]:1-[O]-[c]
30,[CH2](-[CH2]-[OH])-[N](-[CH2]-[CH2])-[c](:[cH]):[cH]
31,[cH](:[cH]:[cH]):[c](:[cH])-[CH3]
32,[cH]1:[cH]:[cH]:[cH]:[c](-[CH2]):[cH]:1
33,[CH3]
34,[c]1(-[N](-[CH3])-[CH3]):[cH]:[cH]:[c]:[cH]:[cH]:1
35,[O](-[c](:[cH]):[cH])-[P](-[O])(-[O])=[S]
36,[C]
37,[c]1(=[O]):[nH]:[c](:[cH]):[c](:[cH]):[nH]:1
38,[cH](:[cH]:[cH]):[c](-[C]):[c]
39,[CH](-[c])=[O]
40,[cH]1:[cH]:[cH]:[cH]:[c](:[n]):[c]:1:[nH]:[c]
41,[C](-[CH2])(-[NH])=[O]
42,[cH](:[cH]:[cH]):[c](:[cH])-[CH2]
43,[n](:[cH]):[n]
44,[c](:[cH]:[c])(-[O]-[c]):[c](:[cH])-[O]
45,[c](:[c])(:[cH]):[n]
46,[c](-[Cl])(:[cH]:[cH]):[cH]:[cH]
47,[cH](:[cH]:[n]):[n]:[c]
48,[n](:[cH]:[c]):[c](:[nH])=[O]
49,[C](-[CH])(=[O])-[O]
50,[O](-[CH3])-[P](-[O])(=[S])-[S]
51,[CH2](-[CH2]-[CH2]-[CH3])-[CH2]-[O]-[C]
52,[cH](:[c](:[cH])-[CH]):[c](:[cH])-[O]
53,[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[C]
54,[c](-[OH])(:[cH]:[c]):[c](:[c]):[c]
55,[P](=[S])(-[O]-[CH2])(-[O]-[CH2])-[S]-[CH2]
56,[C](=[O])(-[NH]-[c])-[NH]-[c]
57,[c]1(-[C](=[O])-[O]-[CH2]):[cH]:[cH]:[c]:[cH]:[cH]:1
58,[CH2](-[OH])-[c](:[cH]):[cH]
59,[CH](=[CH])-[CH]
60,[cH](:[c](:[cH])-[O]):[c](:[c]):[c]
61,[NH](-[c](:[n]):[s])-[S](-[c])(=[O])=[O]
62,[cH](:[cH]:[cH]):[c](:[cH])-[N]
63,[cH](:[cH]:[cH]):[c](:[cH]):[c]
64,[cH](:[cH]):[cH]
65,[cH](:[cH]:[cH]):[c](:[cH])-[OH]
66,[CH2](-[CH2]-[C])-[c](:[cH]):[cH]
67,[cH](:[cH]:[c]):[c](-[C]):[c]
68,[C](=[O])(-[O]-[CH2]-[C])-[c](:[cH]:[cH]):[cH]:[cH]
69,[O](-[C])-[CH]
70,[C](-[C])(=[O])-[O]
71,[n](:[cH]:[n]):[c](:[c]):[c]
72,[c](:[cH])(:[cH])-[N]
73,[c](:[cH])(:[c]):[n]
74,[nH](:[c]):[n]
75,[c](:[cH])(:[n])-[NH]
76,[O](-[C](-[c])=[O])-[C](-[c])(-[c])-[c]
77,[cH](:[cH]):[n]
78,[C](=[O])(-[NH]-[CH])-[c](:[cH]):[cH]
79,[CH2](-[c])-[CH]
80,[CH2]
81,[c](:[cH])(:[nH])=[O]
82,[cH]1:[cH]:[cH]:[c]:[cH]:[c]:1-[S](=[O])(=[O])-[OH]
83,[NH](-[CH2]-[C])-[C](-[CH2])=[O]
84,[CH2](-[CH2]-[CH2]-[CH2])-[O]-[C](-[c])=[O]
85,[Cl]-[CH2]
86,[c](-[Cl])(:[cH]:[c]):[c](:[cH])-[O]
87,[NH](-[C](=[O])-[NH]-[c])-[S](=[O])(=[O])-[c](:[c]):[n]
88,[cH]1:[cH]:[cH]:[cH]:[c](:[cH]):[c]:1:[cH]:[cH]
89,[c](:[cH]:[c])(-[O]-[c]):[c](:[cH])-[Cl]
90,[nH]
91,[C](#[N])-[CH](-[c])-[O]
92,[c](:[c])(-[CH3]):[n]
93,[cH]1:[cH]:[c](-[c]):[c]:[c](-[Cl]):[c]:1-[Cl]
94,[cH](:[cH]:[c]):[c](:[c])-[O]
95,[NH](-[C])-[C]
96,[CH2](-[CH2]-[CH3])-[CH2]-[CH2]-[O]
97,[S]
98,[c](:[cH]:[cH])(:[c](:[cH])-[CH2])-[CH](-[CH2])-[CH]
99,[c](:[n])(:[n]):[n]
100,[CH](-[CH2]-[OH])(-[O]-[CH])-[CH](-[CH])-[OH]
101,[cH]1:[cH]:[cH]:[cH]:[c](-[N]):[cH]:1
102,[c](:[cH]:[cH])(:[cH]:[cH])-[O]-[CH2]
103,[cH]1:[cH]:[cH]:[cH]:[c](-[c]):[c]:1-[Cl]
104,[cH](:[cH]:[cH]):[c](:[c]):[o]
105,[C](=[O])(-[c](:[cH]):[cH])-[c](:[cH]):[cH]
106,[c](:[cH]:[cH])(:[cH]:[cH])-[C](=[O])-[OH]
107,[N](-[CH2]-[CH2])(-[CH2]-[CH2])-[c](:[c]):[c]
108,[c]1(-[S](=[O])(=[O])-[NH]-[C]):[cH]:[cH]:[c]:[cH]:[cH]:1
109,[cH]1:[cH]:[c](-[O]):[c]:[cH]:[c]:1-[N+](=[O])-[O-]
110,[S](-[c])(-[C])(=[O])=[O]
111,[O](-[c](:[cH]):[cH])-[CH](-[C])-[CH3]
112,[C](-[c])#[N]
113,[C]1(=[O])-[c](:[cH]:[cH]):[c](:[cH])-[C]-[c](:[c]):[c]-1:[c](:[cH])-[OH]
114,[C]
115,[CH2](-[CH2]-[CH3])-[CH2]-[O]-[C]
116,[S]
117,[NH](-[C])-[CH]
118,[CH2](-[CH])-[O]
119,[CH2](-[CH2]-[CH2])-[CH2]-[CH2]
120,[cH](:[c](:[cH])-[C]):[c](:[cH])-[O]
121,[CH3]-[n]
122,[cH]1:[cH]:[cH]:[c]:[cH]:[c]:1-[NH]-[C]
123,[c](-[Cl])(:[cH]:[c]):[c](-[C]):[cH]
124,[c]1(-[CH2]-[C](=[O])-[OH]):[cH]:[cH]:[c]:[cH]:[cH]:1
125,[c](:[cH]:[c])(-[C](-[NH])=[O]):[c](:[cH])-[OH]
126,[cH](:[cH]:[c]):[c](:[c])-[N]
127,[c]12:[cH]:[cH]:[c]:[cH]:[c]:1:[cH]:[c]:[c](:[cH]):[cH]:2
128,[NH]
129,[c](-[NH2])(:[cH]:[cH]):[c](:[cH])-[Cl]
130,[OH]-[C]
