step,molindx,prediction_error,predicted_value,true_value,mae
32,1963,14.6047,7.6970,-6.9078,1.8707
37,3948,13.5624,8.1016,-5.4608,1.7569
39,3553,13.7489,-1.4959,12.2530,1.7841
62,4136,12.3003,0.5982,12.8985,1.7545
78,2639,12.2540,1.0507,13.3047,1.7191
99,4610,11.5757,1.7618,13.3375,1.7778
100,3954,11.4597,-3.1656,8.2941,1.7723
101,2431,11.7408,6.5558,-5.1850,1.8370
102,4239,11.4278,9.3076,-2.1203,1.7438
103,2989,10.9666,-2.5488,-13.5154,1.7365
104,3430,11.4470,0.6220,12.0691,1.7140
105,2552,11.2480,1.5342,12.7822,1.7841
108,3394,11.0671,6.5202,-4.5469,1.7032
120,4326,11.1386,-0.5420,10.5966,1.8340
125,2756,10.9916,-2.1308,-13.1224,1.7012
131,3979,12.2062,-2.0403,10.1659,1.7542
137,3741,11.5054,-0.3549,11.1504,1.7423
146,2089,11.0912,5.2821,-5.8091,1.7734
167,3388,10.5892,0.1898,10.7790,1.7304
169,2899,9.8552,3.5893,-6.2659,1.7576
170,3962,9.8431,1.7560,11.5991,1.7003
177,425,9.8515,2.6307,12.4822,1.6431
192,4361,9.9444,-4.3367,5.6077,1.7177
213,4488,9.9204,6.9247,-2.9957,1.7088
214,3722,9.1495,-1.9794,7.1701,1.7415
215,1662,9.7465,0.4155,10.1620,1.6467
216,4360,9.2718,-2.3802,6.8916,1.6447
217,4418,9.2433,-2.6232,6.6201,1.7871
218,1791,9.4926,2.6866,12.1793,1.6668
222,430,9.3264,4.1325,13.4588,1.7393
223,3081,9.3902,7.7295,-1.6607,1.7424
224,353,9.0023,6.0205,-2.9818,1.6475
231,12,9.7014,3.7075,13.4090,1.7292
235,3289,10.2217,-1.0839,9.1378,1.6573
238,2372,9.1660,6.2472,-2.9188,1.7008
241,2893,9.1113,-0.2576,8.8537,1.7664
242,4588,8.9650,-2.0572,6.9078,1.7195
243,3198,9.1695,4.3860,13.5555,1.6035
247,3835,9.3259,-1.7426,7.5832,1.6725
256,4174,9.0538,4.3936,13.4473,1.7673
265,4504,9.1433,-0.6608,8.4825,1.8601
274,4161,9.0644,5.0358,-4.0286,1.7226
286,2049,9.0948,0.5632,9.6580,1.7140
297,3501,9.4030,-2.2330,7.1700,1.6546
301,202,9.0506,-6.5910,2.4596,1.6591
313,3221,9.1173,-1.9472,7.1701,1.7117
