step,molindx,prediction_error,predicted_value,true_value,mae
4,4136,16.7219,-3.8234,12.8985,1.8502
17,3948,15.0652,9.6044,-5.4608,1.7787
30,1963,16.1741,9.2663,-6.9078,1.7287
57,2552,13.9398,-1.1576,12.7822,1.8438
79,425,13.0696,-0.5874,12.4822,1.7406
81,2431,12.2295,7.0445,-5.1850,1.7161
82,3553,13.1685,-0.9155,12.2530,1.8761
85,2989,13.0007,-0.5147,-13.5154,1.7585
86,1791,12.5887,-0.4094,12.1793,1.7128
107,4361,11.5491,-5.9414,5.6077,1.7759
109,4239,11.6236,9.5034,-2.1203,1.8179
110,4312,11.5923,3.1885,-8.4039,1.7992
116,3394,11.3900,6.8431,-4.5469,1.7389
121,3962,11.2097,0.3894,11.5991,1.7625
122,2756,13.2206,0.0982,-13.1224,1.7516
127,4610,11.1859,2.1516,13.3375,1.7929
128,3979,11.4143,-1.2485,10.1659,1.7553
132,2089,11.6664,5.8573,-5.8091,1.7160
139,4166,11.0776,0.6977,11.7753,1.6382
143,2790,11.5692,7.2264,-4.3428,1.6713
165,4036,10.3414,0.3730,10.7144,1.7274
166,2773,10.1162,0.2128,-9.9035,1.7641
167,2893,10.0926,-1.2389,8.8537,1.7761
168,2639,10.1182,3.1865,13.3047,1.7614
169,3388,10.0911,0.6879,10.7790,1.7820
170,3081,10.2027,8.5420,-1.6607,1.7997
175,3609,9.8834,-2.2825,7.6009,1.7675
177,3289,10.4456,-1.3079,9.1378,1.7045
198,1662,9.8680,0.2940,10.1620,1.7105
199,380,9.5400,0.7106,10.2506,1.6785
200,4200,9.6254,1.6090,-8.0164,1.8002
201,4418,10.1912,-3.5711,6.6201,1.6200
202,3741,9.6496,1.5008,11.1504,1.6478
203,3198,9.1443,4.4112,13.5555,1.8203
204,3430,9.5311,2.5379,12.0691,1.7834
205,4171,9.5787,-2.8941,6.6846,1.7660
208,353,9.6830,6.7011,-2.9818,1.6882
209,12,9.2641,4.1449,13.4090,1.7045
210,4326,8.9491,1.6475,10.5966,1.7665
211,4488,9.1942,6.1985,-2.9957,1.6805
215,3572,9.4367,2.5208,11.9575,1.7113
216,4504,9.3283,-0.8458,8.4825,1.7472
220,3452,9.2060,-0.3853,8.8208,1.6783
224,3722,9.2431,-2.0729,7.1701,1.6714
225,430,9.0956,4.3632,13.4588,1.6949
226,2596,8.9461,-1.2775,7.6686,1.7648
227,4588,9.1183,-2.2106,6.9078,1.6750
228,3407,8.8889,-1.9811,6.9078,1.6835
231,1420,9.0484,4.3707,-4.6777,1.6916
236,2814,8.9465,8.8412,-0.1054,1.7373
238,2852,8.9263,9.0216,0.0953,1.6383
