step,molindx,prediction_error,predicted_value,true_value,mae
12,1963,16.3609,9.4531,-6.9078,1.7878
36,2552,13.7417,-0.9594,12.7822,1.7003
41,4136,13.9958,-1.0974,12.8985,1.8413
47,3553,14.7192,-2.4662,12.2530,1.7879
73,3979,13.3565,-3.1906,10.1659,1.8373
78,3394,13.1788,8.6319,-4.5469,1.6632
106,2989,11.2718,-2.2436,-13.5154,1.7761
107,3948,11.7918,6.3310,-5.4608,1.6568
108,4326,11.2250,-0.6284,10.5966,1.7517
112,2756,11.2967,-1.8257,-13.1224,1.7734
114,4100,11.3286,0.9757,-10.3529,1.8251
115,12,11.7008,1.7082,13.4090,1.7894
120,2240,10.9837,-6.0421,4.9416,1.6428
141,3962,10.8531,0.7460,11.5991,1.6492
142,4588,10.5042,-3.5965,6.9078,1.6881
143,2089,10.2882,4.4791,-5.8091,1.7358
144,1420,10.3088,5.6311,-4.6777,1.7722
147,1199,10.1941,4.3510,-5.8430,1.7835
148,4312,9.9728,1.5689,-8.4039,1.7260
149,2431,10.3896,5.2046,-5.1850,1.7740
150,2899,10.4643,4.1984,-6.2659,1.7578
151,3741,10.9172,0.2332,11.1504,1.7189
153,3609,10.4374,-2.8365,7.6009,1.7074
155,4610,10.1324,3.2050,13.3375,1.7368
165,3289,10.0295,-0.8918,9.1378,1.7351
173,430,9.8494,3.6095,13.4588,1.6659
194,234,9.2387,0.2907,-8.9480,1.7292
195,210,9.7994,1.3774,-8.4220,1.6708
197,4239,9.5466,7.4264,-2.1203,1.7610
199,3049,9.1937,8.0543,-1.1394,1.5918
201,3081,9.0551,7.3943,-1.6607,1.6201
202,1991,9.2108,4.9421,-4.2687,1.6138
203,2372,9.2238,6.3051,-2.9188,1.6677
204,2639,9.6878,3.6169,13.3047,1.7173
212,4361,9.0347,-3.4270,5.6077,1.7274
213,1791,9.0412,3.1381,12.1793,1.6725
214,3430,9.1395,2.9296,12.0691,1.6906
216,353,9.2310,6.2491,-2.9818,1.6195
218,425,9.0448,3.4374,12.4822,1.7275
221,3692,9.4502,1.8493,-7.6009,1.6574
236,4434,8.8832,4.2391,13.1224,1.7244
245,843,9.0257,5.8861,-3.1396,1.7129
266,189,9.8531,1.1734,-8.6797,1.6959
267,178,9.1560,1.3319,-7.8240,1.7268
269,3572,8.1796,3.7779,11.9575,1.5895
270,2819,8.3540,3.5257,-4.8283,1.7087
271,3805,8.1100,3.5048,-4.6052,1.5820
272,1039,8.3036,4.1257,12.4292,1.6542
273,4488,8.0484,5.0527,-2.9957,1.6821
274,4036,8.2992,2.4152,10.7144,1.7057
276,3722,8.3886,-1.2184,7.1701,1.6379
280,4261,8.6803,1.3262,-7.3540,1.5563
286,4467,8.1257,1.4803,-6.6454,1.7537
287,2529,8.2019,4.8777,-3.3242,1.6009
289,4035,8.5066,1.0757,-7.4310,1.6453
294,2773,8.3803,-1.5232,-9.9035,1.6477
299,1797,8.0123,3.3381,11.3504,1.6678
301,3542,8.2336,1.0193,-7.2143,1.6979
302,2926,8.3811,5.2601,13.6412,1.6563
304,3105,8.4102,3.0500,-5.3602,1.5877
310,4574,8.0641,3.0424,11.1065,1.6321
315,2506,8.2153,5.4184,-2.7969,1.6322
324,2418,8.4471,2.4860,10.9331,1.7223
332,4504,8.3636,0.1189,8.4825,1.6897
335,2927,8.1027,5.1851,13.2879,1.6754
341,3249,8.0652,1.8506,-6.2146,1.7188
344,1627,8.2830,2.0587,10.3417,1.7023
345,1828,7.9944,2.9313,10.9257,1.7459
366,4305,7.4916,4.7257,-2.7659,1.6074
367,1468,8.2117,-0.9463,7.2654,1.6879
369,4174,7.5491,5.8983,13.4473,1.5530
370,380,7.4111,2.8395,10.2506,1.5955
372,3594,7.2428,2.4270,-4.8159,1.5826
373,2752,7.8284,1.4803,-6.3481,1.6382
374,2616,7.7123,3.3695,-4.3428,1.6410
375,2223,7.2481,5.1814,12.4295,1.5482
377,2291,7.3078,6.3915,-0.9163,1.6026
379,236,7.2147,2.2529,-4.9619,1.6653
380,3068,7.6777,5.1086,-2.5692,1.5851
381,2790,7.2638,2.9209,-4.3428,1.5889
386,3791,7.2436,6.8869,-0.3567,1.6170
387,2157,7.6258,1.5845,9.2103,1.7031
390,4088,7.2411,2.6360,-4.6052,1.5726
394,4456,7.2649,2.1489,-5.1160,1.6281
397,1174,7.4835,4.6188,-2.8647,1.6420
398,3198,7.2980,6.2575,13.5555,1.6882
402,2772,7.3395,4.1734,11.5129,1.6701
405,978,7.3176,-4.6786,2.6390,1.6110
406,4280,7.2635,1.6641,-5.5994,1.6688
408,3798,7.5717,1.9167,-5.6550,1.7530
409,2131,7.5254,2.0992,-5.4261,1.5928
413,4418,7.2209,-0.6009,6.6201,1.6967
414,436,7.1913,6.9518,-0.2395,1.6570
421,2271,7.2762,4.8465,12.1227,1.6405
423,321,7.6372,1.0250,8.6622,1.6640
425,228,7.2356,0.9532,8.1888,1.5839
439,3254,7.2284,1.7069,-5.5215,1.6606
443,2904,7.2136,3.9298,11.1433,1.5734
447,1406,7.1797,5.4077,-1.7720,1.6317
468,4254,7.2555,0.8783,-6.3771,1.6584
469,2775,6.7211,5.5171,-1.2040,1.6110
470,656,6.6273,5.9341,-0.6932,1.5073
471,1160,6.5887,-6.9455,-0.3567,1.6110
473,3907,6.7544,6.0612,-0.6932,1.7129
475,2526,6.9311,3.3845,-3.5467,1.6073
477,2196,6.7897,2.3669,-4.4228,1.5633
478,1383,7.1075,5.8067,12.9142,1.5503
479,2610,6.6980,5.1001,11.7981,1.5695
480,1792,6.4747,4.2398,-2.2349,1.6618
481,3055,6.8718,5.4741,12.3458,1.6119
482,2059,6.9310,3.4010,10.3320,1.6300
483,4322,6.4590,2.4416,-4.0174,1.5740
484,4606,6.4845,2.9779,-3.5066,1.5287
485,2814,6.5018,6.3964,-0.1054,1.6624
486,1982,7.1030,3.7506,-3.3524,1.5788
488,4569,6.7677,-1.7570,5.0106,1.5263
492,3635,6.9416,2.1404,-4.8012,1.6262
493,4166,6.6149,5.1604,11.7753,1.6434
494,1887,6.4855,3.8544,-2.6311,1.5483
495,1392,6.7868,6.6372,13.4240,1.6284
496,327,6.5163,7.1020,13.6183,1.4812
497,3669,6.8723,1.0898,7.9621,1.6138
499,540,6.6693,-0.7585,5.9108,1.6508
501,3520,6.6365,2.0313,-4.6052,1.5564
502,1903,7.0116,3.7927,-3.2189,1.5975
504,4171,6.7599,-0.0753,6.6846,1.5369
505,1866,6.5437,6.9293,13.4730,1.5957
506,2161,6.8405,1.8251,8.6656,1.6706
507,1669,6.8835,4.2525,-2.6311,1.6315
526,4421,6.5140,3.2542,-3.2598,1.5859
527,2152,6.5999,3.3934,-3.2064,1.5449
533,3739,6.6068,5.7346,12.3415,1.6701
538,3787,6.5145,6.2914,-0.2231,1.5793
542,3063,6.7861,3.9108,-2.8753,1.5127
543,1247,6.5322,-1.9269,4.6052,1.5434
546,1929,6.6038,-2.4496,-9.0534,1.5692
549,0,6.4676,4.3480,10.8156,1.5822
566,629,6.5032,0.4046,6.9078,1.6054
